일자,시도(출발),시군구(출발),읍면동(출발),위도(출발),경도(출발),시도(도착),시군구(도착),읍면동(도착),위도(도착),경도(도착),통행량,통행시간,통행거리
2023-03-31(금),충청남도,아산시,-,,,경기도,가평군,-,,,1,216.23,158400
2023-03-31(금),충청남도,아산시,-,,,경기도,고양시 ,-,,,39,197.69,121111
2023-03-31(금),충청남도,아산시,-,,,경기도,과천시,-,,,39,121.03,91157
2023-03-31(금),충청남도,아산시,-,,,경기도,광명시,-,,,53,127.16,91581
2023-03-31(금),충청남도,아산시,-,,,경기도,광주시,-,,,15,178.42,112697
2023-03-31(금),충청남도,아산시,-,,,경기도,구리시,-,,,2,197.99,123400
2023-03-31(금),충청남도,아산시,-,,,경기도,군포시,-,,,172,105.16,79833
2023-03-31(금),충청남도,아산시,-,,,경기도,김포시,-,,,16,192.08,128865
2023-03-31(금),충청남도,아산시,-,,,경기도,남양주시,-,,,12,211.16,129237
2023-03-31(금),충청남도,아산시,-,,,경기도,동두천시,-,,,4,232.54,151025
2023-03-31(금),충청남도,아산시,-,,,경기도,부천시,-,,,130,150.04,106585
2023-03-31(금),충청남도,아산시,-,,,경기도,성남시 ,-,,,94,149.29,97501
2023-03-31(금),충청남도,아산시,-,,,경기도,수원시 ,-,,,"1,136",93.89,68472
2023-03-31(금),충청남도,아산시,-,,,경기도,시흥시,-,,,92,149.31,99600
2023-03-31(금),충청남도,아산시,-,,,경기도,안산시 ,-,,,227,128.37,86990
2023-03-31(금),충청남도,아산시,-,,,경기도,안성시,-,,,117,81.89,44259
2023-03-31(금),충청남도,아산시,-,,,경기도,안양시 ,-,,,279,112.15,84490
2023-03-31(금),충청남도,아산시,-,,,경기도,양주시,-,,,3,227.55,142300
2023-03-31(금),충청남도,아산시,-,,,경기도,양평군,-,,,1,246.31,172400
2023-03-31(금),충청남도,아산시,-,,,경기도,여주시,-,,,2,219.57,147925
2023-03-31(금),충청남도,아산시,-,,,경기도,연천군,-,,,1,291.71,166310
2023-03-31(금),충청남도,아산시,-,,,경기도,오산시,-,,,464,71.55,52308
2023-03-31(금),충청남도,아산시,-,,,경기도,용인시 ,-,,,162,131.04,84282
2023-03-31(금),충청남도,아산시,-,,,경기도,의왕시,-,,,78,99.72,75427
2023-03-31(금),충청남도,아산시,-,,,경기도,의정부시,-,,,14,214.11,133047
2023-03-31(금),충청남도,아산시,-,,,경기도,이천시,-,,,11,196.37,138398
